annee,temp_moy_c,temp_anomalie_c,jours_chauds_30,jours_gel,precip_mm,source,co2_ppm,ch4_ppb,ges_total_mtco2eq,empreinte_totale_tco2eq,part_importee_tco2eq,anomalie_temp_c,trend_10ans,co2_delta_ann,score_risque_climatique,temp_moy_c_lag1,temp_moy_c_lag2,temp_moy_c_lag3,temp_moy_c_lag5,temp_moy_c_lag10,co2_ppm_lag1,co2_ppm_lag2,co2_ppm_lag3,co2_ppm_lag5,co2_ppm_lag10,anomalie_temp_c_lag1,anomalie_temp_c_lag2,anomalie_temp_c_lag3,anomalie_temp_c_lag5,anomalie_temp_c_lag10
1900,12.12,0.124,10.24,68,726.4,simule_base_meteofrance,296.0,898.8,,,,-0.949,0.2,,28.2,,,,,,,,,,,,,,,
1901,11.98,-0.021,12.0,60,710.1,simule_base_meteofrance,296.33,912.5,,,,-1.089,-0.074,0.33,27.7,12.12,,,,,296.0,,,,,-0.949,,,,
1902,12.19,0.189,10.24,60,801.7,simule_base_meteofrance,296.67,915.1,,,,-0.879,0.339,0.34,29.1,11.98,12.12,,,,296.33,296.0,,,,-1.089,-0.949,,,
1903,12.42,0.422,12.0,65,780.3,simule_base_meteofrance,297.0,921.7,,,,-0.649,0.325,0.33,33.0,12.19,11.98,12.12,,,296.67,296.33,296.0,,,-0.879,-1.089,-0.949,,
1904,12.0,-0.004,11.0,60,745.7,simule_base_meteofrance,297.33,942.6,,,,-1.069,0.097,0.33,27.4,12.42,12.19,11.98,,,297.0,296.67,296.33,,,-0.649,-0.879,-1.089,,
1905,12.01,0.01,11.0,58,660.7,simule_base_meteofrance,297.67,946.6,,,,-1.059,0.122,0.34,27.6,12.0,12.42,12.19,12.12,,297.33,297.0,296.67,296.0,,-1.069,-0.649,-0.879,-0.949,
1906,12.48,0.477,13.0,52,670.3,simule_base_meteofrance,298.0,940.5,,,,-0.589,0.002,0.33,34.5,12.01,12.0,12.42,11.98,,297.67,297.33,297.0,296.33,,-1.059,-1.069,-0.649,-1.089,
1907,12.29,0.288,12.0,53,648.2,simule_base_meteofrance,298.33,955.5,,,,-0.779,-0.193,0.33,31.6,12.48,12.01,12.0,12.19,,298.0,297.67,297.33,296.67,,-0.589,-1.059,-1.069,-0.879,
1908,11.99,-0.008,15.0,61,712.1,simule_base_meteofrance,298.67,972.0,,,,-1.079,-0.146,0.34,30.0,12.29,12.48,12.01,12.42,,298.33,298.0,297.67,297.0,,-0.779,-0.589,-1.059,-0.649,
1909,12.26,0.259,13.0,63,560.8,simule_base_meteofrance,299.0,968.3,,,,-0.809,-0.187,0.33,31.9,11.99,12.29,12.48,12.0,,298.67,298.33,298.0,297.33,,-1.079,-0.779,-0.589,-1.069,
