Code;Nom;Longitude;Latitude;Num_dept;Cours_deau;Departement
V294201001;L'Ain à Chazey-sur-Ain;5.2334923;45.906423056;01;L'Ain;AIN
V271201001;L'Ain à Pont-d'Ain;5.336198092;46.047408267;01;L'Ain;AIN
V292402001;L'Albarine à Chaley;5.533970079;45.953904649;01;L'Albarine;AIN
V293401001;L'Albarine à Saint-Denis-en-Bugey [Pont Saint Denis];5.331709625;45.954757013;01;L'Albarine;AIN
V292401001;L'Albarine à Saint-Rambert-en-Bugey;5.439340194;45.94801973;01;L'Albarine;AIN
V041501001;L'Allondon à Saint-Genis-Pouilly;6.014197508;46.239256376;01;L'Allondon;AIN
V041504001;L'Allondon à Échenevex [Naz-Dessous];6.028608342;46.298583152;01;L'Allondon;AIN
V251521001;L'Ange à Brion;5.553444025;46.171877928;01;L'Ange;AIN
V145431201;L'Arène à Chazey-Bons;5.654502898;45.820620655;01;L'Arène;AIN
V251501002;L'Oignin à Maillat [Pontet];5.539029882;46.1342078;01;L'Oignin;AIN
V251501001;L'Oignin à Maillat [Pontet] - Village;5.539474869;46.128981327;01;L'Oignin;AIN
U440502001;La Chalaronne à Châtillon-sur-Chalaronne;4.957533859;46.117265136;01;La Chalaronne;AIN
U440501001;La Chalaronne à Villars-les-Dombes;5.028446513;45.998314215;01;La Chalaronne;AIN
U400000101;La Reyssouze [Source] à Journans;5.330753535;46.143007226;01;La Reyssouze;AIN
U401402101;La Reyssouze à Bourg-en-Bresse [Baudières];5.233608207;46.202957525;01;La Reyssouze;AIN
U401402001;La Reyssouze à Bourg-en-Bresse [Majornas];5.222298789;46.227058678;01;La Reyssouze;AIN
U403000301;La Reyssouze à Cras-sur-Reyssouze [Digue des Puthods];5.168896186;46.302153841;01;La Reyssouze;AIN
U401401001;La Reyssouze à Montagnat;5.289964753;46.171511591;01;La Reyssouze;AIN
U403000201;La Reyssouze à Montrevel-en-Bresse [TEST INTEGRATION AQUASYS];5.129951572;46.336996018;01;;AIN
U405401101;La Reyssouze à Pont-de-Vaux [Barrage des aiguilles] - Amont;4.931706351;46.435942399;01;La Reyssouze;AIN
U405401102;La Reyssouze à Pont-de-Vaux [Barrage des aiguilles] - Aval;4.931706351;46.435942399;01;La Reyssouze;AIN
U405401201;La Reyssouze à Pont-de-Vaux [Blancherie];4.936430988;46.431018561;01;La Reyssouze;AIN
U405401001;La Reyssouze à Saint-Julien-sur-Reyssouze;5.108671397;46.400607013;01;La Reyssouze;AIN
U470001001;La Saône à Trévoux;4.773170497;45.939988602;01;La Saône;AIN
V101581001;La Semine à Châtillon-en-Michaille [Coz];5.800454684;46.149838689;01;La Semine;AIN
V101582001;La Semine à Saint-Germain-de-Joux [Les Marionnettes];5.738727802;46.182483546;01;La Semine;AIN
V300561001;La Sereine à Montluel;5.057738124;45.853261796;01;La Sereine;AIN
V294521001;La Toison à Rignieux-le-Franc;5.196009322;45.93935539;01;La Toison;AIN
V101503001;La Valserine à Chézery-Forens [Chézery];5.86571257;46.221759013;01;La Valserine;AIN
V101503003;La Valserine à Chézery-Forens [Chézery] - Station vitesse;5.864814022;46.219896033;01;La Valserine;AIN
V101502001;La Valserine à Chézery-Forens [Les Hirondelles];5.891832778;46.244568634;01;La Valserine;AIN
V101582601;La Valserine à Lancrans - Station partenaire CNR;5.817333478;46.132652471;01;La Valserine;AIN
V101582501;La Valserine à Lancrans [Le Viret];5.82151635;46.125024715;01;La Valserine;AIN
V101582401;La Valserine à Lancrans [Moulin de Métral];5.824552233;46.120561029;01;La Valserine;AIN
V101501001;La Valserine à Lélex [Niaizet];5.921921494;46.282474777;01;La Valserine;AIN
U423402002;La Veyle à Biziat [gourt des parties] - Amont;4.951800512;46.23611255;01;La Veyle;AIN
